id_modulvoraussetzung,laufnummer,voraussetzung_laufnummer,bemerkung,ziel1,ziel2,ziel3,ziel4,ziel5
197,B-LS-CB 004,B-LS-CB 020,,t,t,t,t,t
198,B-LS-CB 004,B-LS-BZ 013,,t,f,f,f,f
199,B-LS-CB 004,B-LS-BZ 010,,f,t,f,f,f
143,B-LS-MT 009,B-LS-BZ 001,,t,t,t,t,f
7,B-LS-UT 021,B-LS-CH 001,,t,,,,
200,B-LS-UT 011,B-LS-CH 001,,t,t,t,t,t
201,B-LS-UT 011,B-LS-BZ 022,,t,t,t,t,t
207,B-LS-UT 001,B-LS-KT 007,,t,t,t,t,t
55,B-LS-MT 005,B-LS-MT 002,,t,f,f,t,t
28,B-LS-MT 005,B-LS-KT 027,,f,t,t,f,f
34,B-LS-MT 005,B-LS-BZ 043,,f,t,f,f,f
49,B-LS-UT 021,B-LS-UT 027,,,t,,t,
208,B-LS-UT 001,B-LS-UT 019,,t,t,t,t,t
202,B-LS-PT 002,B-LS-CH 001,,t,t,f,t,t
209,B-LS-UT 001,B-LS-UT 002,,t,t,t,t,t
210,B-LS-MI 011,B-LS-MI 005,,t,t,t,t,t
211,B-LS-MI 011,B-LS-MI 001,,t,t,t,t,t
10,B-LS-CB 012,B-LS-KT 039,,t,t,t,t,
213,B-LS-MI 020,B-LS-MI 011,,t,t,t,t,t
9,B-LS-UT 028,B-LS-CH 001,,t,,,,t
51,B-LS-UT 028,B-LS-UT 027,,,t,,,
214,B-LS-MI 028,B-LS-KT 039,,t,t,t,t,t
215,B-LS-MI 028,B-LS-KT 022,,t,t,t,t,t
216,B-LS-MI 028,B-LS-KT 023,,t,t,t,t,t
217,B-LS-BZ 002,B-LS-CH 001,,t,f,f,t,t
218,B-LS-BZ 002,B-LS-BZ 001,,f,t,f,f,f
219,B-LS-BZ 002,B-LS-KT 007,,t,t,f,t,f
220,B-LS-BZ 027,B-LS-BZ 022,,t,t,t,t,t
221,B-LS-BZ 027,B-LS-PT 008,,t,t,t,t,t
222,B-LS-BZ 027,B-LS-PT 004,,t,t,t,t,t
132,B-LS-MI 003,B-LS-MI 006,,t,t,t,t,t
93,B-LS-CH 023,B-LS-CH 003,,t,t,t,t,t
134,B-LS-KT 004,B-LS-KT 028,,t,,t,t,t
73,B-LS-MT 011,B-LS-KT 007,,t,t,t,t,t
148,B-LS-UT 009,B-LS-UT 024,,t,t,t,t,t
149,B-LS-UT 009,B-LS-UT 002,,t,t,t,t,t
101,B-LS-MT 019,B-LS-MT 007,,t,f,f,t,f
119,B-LS-MT 001,B-LS-KT 013,,,t,,t,
150,B-LS-MI 010,B-LS-MI 007,,t,t,t,t,t
180,B-LS-CH 020,B-LS-CH 003,,f,t,f,t,t
72,B-LS-MT 001,B-LS-KT 007,,t,t,t,t,
69,B-LS-PT 013,B-LS-PT 004,,t,t,t,t,t
117,B-LS-MT 011,B-LS-KT 012,,t,t,,t,t
71,B-LS-CH 010,B-LS-KT 007,,f,t,f,f,f
125,B-LS-CB 019,B-LS-KT 027,,f,f,f,f,t
142,B-LS-BZ 019,B-LS-BZ 010,,t,,,,
127,B-LS-CH 012,B-LS-BZ 022,,t,t,t,t,f
96,B-LS-KT 027,B-LS-KT 022,,t,t,t,t,t
121,B-LS-MT 011,B-LS-KT 013,,,t,,t,
151,B-LS-CB 029,B-LS-KT 039,,t,t,t,t,t
109,B-LS-CH 009,B-LS-CH 008,,t,t,t,t,t
77,B-LS-CH 012,B-LS-KT 012,,t,f,f,f,f
78,B-LS-CH 027,B-LS-CH 007,,f,f,f,t,t
97,B-LS-PT 001,B-LS-KT 022,,t,,,,
105,B-LS-UT 022,B-LS-BZ 014,,f,t,f,f,f
140,B-LS-UT 015,B-LS-UT 014,,t,t,t,t,t
79,B-LS-CH 036,B-LS-KT 007,,f,t,f,f,f
152,B-LS-CB 029,B-LS-KT 027,,t,t,t,t,t
153,B-LS-CB 029,B-LS-KT 022,,t,t,t,t,t
98,B-LS-PT 009,B-LS-KT 022,,t,f,f,f,f
102,B-LS-PT 001,B-LS-MT 007,,t,t,,t,
135,B-LS-MT 001,B-LS-KT 023,,t,f,t,t,
165,B-LS-MI 014,B-LS-KT 023,,t,t,t,t,t
138,B-LS-PT 009,B-LS-KT 012,,t,t,f,f,t
116,B-LS-MT 009,B-LS-KT 012,,t,t,t,t,t
74,B-LS-MT 017,B-LS-KT 013,,t,t,t,t,t
144,B-LS-PT 004,B-LS-BZ 010,,t,t,t,t,f
137,B-LS-PT 001,B-LS-KT 012,,t,t,,,t
166,B-LS-BZ 007,B-LS-CH 001,,t,t,t,t,t
75,B-LS-UT 024,B-LS-KT 007,,t,t,t,t,t
85,B-LS-BZ 011,B-LS-CH 013,,,t,,,
103,B-LS-BZ 013,B-LS-CH 013,,f,t,f,f,f
129,B-LS-BZ 013,B-LS-UT 005,,t,t,f,t,f
145,B-LS-UT 024,B-LS-BZ 009,,t,t,t,t,t
87,B-LS-BZ 015,B-LS-CH 013,,,t,,,
107,B-LS-BZ 015,B-LS-BZ 014,,,t,,,
167,B-LS-BZ 007,B-LS-BZ 005,,t,t,t,t,t
88,B-LS-BZ 034,B-LS-CH 013,,f,t,f,f,f
94,B-LS-CB 012,B-LS-KT 022,,t,t,,,
66,B-LS-PT 005,B-LS-PT 004,,t,t,t,t,t
118,B-LS-CB 019,B-LS-KT 012,,t,t,f,f,t
70,B-LS-CH 004,B-LS-KT 007,,,t,,,
159,B-LS-CH 019,B-LS-CH 006,,t,t,t,t,t
99,B-LS-PT 012,B-LS-KT 022,,t,f,f,f,f
76,B-LS-CH 010,B-LS-CH 004,,f,t,f,f,f
128,B-LS-CH 027,B-LS-CH 014,,t,t,t,t,t
124,B-LS-PT 012,B-LS-KT 012,,t,t,f,f,t
80,B-LS-UT 025,B-LS-UT 024,,t,t,t,t,t
160,B-LS-CH 019,B-LS-KT 028,,t,t,t,t,t
161,B-LS-CH 019,B-LS-MI 002,,t,t,t,t,t
91,B-LS-PT 013,B-LS-CH 013,,f,t,f,f,f
113,B-LS-KT 013,B-LS-KT 012,,t,t,t,t,t
122,B-LS-MT 030,B-LS-KT 013,,t,t,t,t,t
136,B-LS-MT 011,B-LS-KT 023,,t,t,f,t,
106,B-LS-MT 019,B-LS-BZ 003,,f,f,t,f,f
86,B-LS-BZ 013,B-LS-BZ 017,,f,f,f,t,t
120,B-LS-MT 002,B-LS-KT 013,,t,t,t,t,t
115,B-LS-MT 001,B-LS-KT 012,,t,t,,t,t
112,B-LS-CH 036,B-LS-CH 007,,t,t,t,t,t
162,B-LS-MI 014,B-LS-KT 039,,t,t,t,t,t
130,B-LS-CH 032,B-LS-CH 015,,t,t,t,t,t
131,B-LS-UT 022,B-LS-UT 005,,t,t,f,f,f
163,B-LS-MI 014,B-LS-KT 027,,t,t,t,t,t
67,B-LS-UT 021,B-LS-BZ 022,,t,t,,,
89,B-LS-CH 014,B-LS-CH 013,,,t,,,
90,B-LS-CH 015,B-LS-CH 013,,,t,,,
108,B-LS-UT 022,B-LS-BZ 015,,t,t,t,t,t
141,B-LS-UT 022,B-LS-UT 021,,t,f,t,t,t
164,B-LS-MI 014,B-LS-KT 022,,t,t,t,t,t
104,B-LS-UT 021,B-LS-UT 005,,t,t,,t,
133,B-LS-MI 007,B-LS-MI 006,,t,t,t,t,t
83,B-LS-PT 005,B-LS-BZ 022,,f,f,t,f,f
92,B-LS-UT 028,B-LS-CH 013,,,t,,,
168,B-LS-BZ 007,B-LS-CH 005,,t,t,t,t,t
169,B-LS-BZ 007,B-LS-BZ 022,,t,t,t,t,t
170,B-LS-BZ 007,B-LS-BZ 018,,t,t,t,t,t
171,B-LS-BZ 007,B-LS-BZ 010,,t,t,t,t,t
174,B-LS-BZ 005,B-LS-CH 004,,f,t,f,f,f
176,B-LS-BZ 004,B-LS-BZ 005,,t,,,,
175,B-LS-BZ 005,B-LS-BZ 010,,f,t,f,f,f
